model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
lda,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,7,0.0875,0.2857142857142857,0.2625,0.42857142857142855,0.5714285714285714,0.02967025714285714,0.06407786,-0.0675441,0.012450520499999998,0.023214285714285687,0.017219736642857142
lda,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,13,0.1625,0.23076923076923078,0.2625,0.46153846153846156,0.5384615384615384,0.014492722307692305,0.042898846153846155,-0.04301818692307692,0.012450520499999998,-0.03173076923076923,0.0020422018076923076
lda,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,6,0.075,0.16666666666666666,0.2625,0.3333333333333333,0.6666666666666666,0.004475778333333333,0.04184375666666667,-0.06434772666666666,0.012450520499999998,-0.09583333333333335,-0.007974742166666665
lda,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,12,0.15,0.25,0.2625,0.5,0.5,0.01831010333333333,0.046196982500000004,-0.04067146083333333,0.012450520499999998,-0.012500000000000011,0.005859582833333333
lda,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,6,0.075,0.16666666666666666,0.2625,0.6666666666666666,0.3333333333333333,0.016869341666666666,0.048634619999999996,-0.05091670166666667,0.012450520499999998,-0.09583333333333335,0.004418821166666668
lda,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,9,0.1125,0.2222222222222222,0.2625,0.4444444444444444,0.5555555555555556,0.01350766,0.04394561222222223,-0.03380279111111111,0.012450520499999998,-0.0402777777777778,0.0010571395000000018
lda,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,6,0.075,0.3333333333333333,0.2625,0.6666666666666666,0.3333333333333333,0.024658815,0.05817271999999999,-0.03086947,0.012450520499999998,0.0708333333333333,0.012208294500000003
lda,top,manual_weak_top_label,0.3,all_signals,6,5,111,11,0.0990990990990991,0.2727272727272727,0.0990990990990991,0.45454545454545453,0.5454545454545454,-0.01146247,0.02812843727272727,-0.04852702545454546,0.00734634927927928,0.17362817362817362,-0.01880881927927928
lda,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,8,0.07207207207207207,0.125,0.0990990990990991,0.5,0.5,0.0020204637500000006,0.0313886825,-0.034575038749999995,0.00734634927927928,0.0259009009009009,-0.005325885529279279
lda,top,manual_weak_top_label,0.4,all_signals,6,5,111,8,0.07207207207207207,0.25,0.0990990990990991,0.5,0.5,-0.0064938925,0.0288904425,-0.0467237225,0.00734634927927928,0.15090090090090091,-0.01384024177927928
lda,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,7,0.06306306306306306,0.2857142857142857,0.0990990990990991,0.42857142857142855,0.5714285714285714,-0.012437764285714288,0.027761212857142854,-0.04395601428571428,0.00734634927927928,0.1866151866151866,-0.01978411356499357
lda,top,manual_weak_top_label,0.5,all_signals,6,5,111,8,0.07207207207207207,0.25,0.0990990990990991,0.5,0.5,-0.0064938925,0.0288904425,-0.0467237225,0.00734634927927928,0.15090090090090091,-0.01384024177927928
lda,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,7,0.06306306306306306,0.2857142857142857,0.0990990990990991,0.42857142857142855,0.5714285714285714,-0.012437764285714288,0.027761212857142854,-0.04395601428571428,0.00734634927927928,0.1866151866151866,-0.01978411356499357
lda,top,manual_weak_top_label,0.6,all_signals,6,5,111,7,0.06306306306306306,0.2857142857142857,0.0990990990990991,0.5714285714285714,0.42857142857142855,-0.003017692857142856,0.03291324714285714,-0.047878645714285704,0.00734634927927928,0.1866151866151866,-0.010364042136422136
lda,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,6,0.05405405405405406,0.3333333333333333,0.0990990990990991,0.5,0.5,-0.009372843333333334,0.03226628,-0.044842139999999996,0.00734634927927928,0.23423423423423423,-0.016719192612612614
lda,top,manual_weak_top_label,0.7,all_signals,6,5,111,7,0.06306306306306306,0.2857142857142857,0.0990990990990991,0.5714285714285714,0.42857142857142855,-0.003017692857142856,0.03291324714285714,-0.047878645714285704,0.00734634927927928,0.1866151866151866,-0.010364042136422136
lda,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,6,0.05405405405405406,0.3333333333333333,0.0990990990990991,0.5,0.5,-0.009372843333333334,0.03226628,-0.044842139999999996,0.00734634927927928,0.23423423423423423,-0.016719192612612614
lightgbm,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,13,0.1625,0.38461538461538464,0.2625,0.5384615384615384,0.46153846153846156,0.02822433923076923,0.06304546846153845,-0.06206793384615385,0.012450520499999998,0.12211538461538463,0.015773818730769232
lightgbm,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,8,0.1,0.125,0.2625,0.375,0.625,-0.0108652575,0.035275965,-0.07578004625000001,0.012450520499999998,-0.1375,-0.023315777999999995
lightgbm,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,8,0.1,0.375,0.2625,0.625,0.375,0.03372832875,0.0648886525,-0.07646402625000001,0.012450520499999998,0.11249999999999999,0.021277808250000002
lightgbm,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,6,0.075,0.16666666666666666,0.2625,0.5,0.5,-0.00054176,0.03823111333333334,-0.085505605,0.012450520499999998,-0.09583333333333335,-0.012992280499999998
