week_start_date,week_end_date,week_pos,manual_weak_bottom_label,future_ret_3w,future_mfe_3w,future_mae_3w,is_bottom_candidate,is_top_candidate,turning_proba,test_year,year_complete,model,side,label_col,train_rows,tuned_params_json,tuning_status,manual_weak_top_label
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.0915098488330841,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.1218557059764862,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-10-11,2021-10-15,347,1.0,0.00532950,0.03165985,-0.01576973,1,0,0.13306498527526855,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-10-25,2021-10-29,349,1.0,0.05666090,0.05696759,-0.01132722,1,0,0.36619195342063904,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-11-01,2021-11-05,350,1.0,0.07459172,0.07915490,-0.00515347,1,0,0.21796821057796478,2021,True,bp,bottom,manual_weak_bottom_label,115,"{""dropout"": 0.05, ""focal_alpha"": 0.7, ""focal_gamma"": 1.5, ""hidden_layers"": [32], ""learning_rate"": 0.001, ""max_epochs"": 130, ""patience"": 15}",ok,
2021-01-25,2021-01-29,310,0.0,0.03545762,0.03549823,-0.04808904,1,0,0.613289132087965,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-02-01,2021-02-05,311,1.0,0.04633486,0.10158525,-0.00733430,1,0,0.4192688274665971,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-03-08,2021-03-12,316,0.0,0.02263074,0.02620136,-0.01450516,1,0,0.2695638527198183,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-03-15,2021-03-19,317,0.0,0.02379002,0.02952287,-0.01928804,1,0,0.4091454102167302,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
2021-08-30,2021-09-03,341,0.0,0.00848884,0.05394884,-0.01020766,1,1,0.5887533331749734,2021,True,mlp,bottom,manual_weak_bottom_label,115,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [48, 24], ""learning_rate_init"": 0.001, ""max_iter"": 600, ""negative_sample_ratio"": 3.0}",ok,
