model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
lda,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,33,0.2972972972972973,0.36363636363636365,0.3333333333333333,0.5757575757575758,0.42424242424242425,0.006713816666666667,0.044441575757575756,-0.03701920787878788,0.00734634927927928,0.03030303030303033,-0.0006325326126126124
lda,top,manual_weak_top_label,0.4,all_signals,6,5,111,67,0.6036036036036037,0.417910447761194,0.3333333333333333,0.582089552238806,0.417910447761194,0.005348920447761194,0.04105880059701493,-0.03754986656716418,0.00734634927927928,0.0845771144278607,-0.001997428831518086
lda,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,32,0.2882882882882883,0.375,0.3333333333333333,0.59375,0.40625,0.0070634678125,0.044794216874999994,-0.0380258378125,0.00734634927927928,0.041666666666666685,-0.00028288146677927974
lda,top,manual_weak_top_label,0.5,all_signals,6,5,111,64,0.5765765765765766,0.4375,0.3333333333333333,0.5625,0.4375,0.0030627403124999994,0.039601379375,-0.03844839375,0.00734634927927928,0.10416666666666669,-0.00428360896677928
lda,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,31,0.27927927927927926,0.3870967741935484,0.3333333333333333,0.5806451612903226,0.41935483870967744,0.004337468064516129,0.042825541935483866,-0.03806057483870968,0.00734634927927928,0.05376344086021506,-0.0030088812147631505
lda,top,manual_weak_top_label,0.6,all_signals,6,5,111,59,0.5315315315315315,0.423728813559322,0.3333333333333333,0.559322033898305,0.4406779661016949,0.0033070725423728813,0.04029003423728813,-0.03832481169491526,0.00734634927927928,0.0903954802259887,-0.004039276736906398
lda,top,manual_weak_top_label,0.6,non_overlapping,6,5,111,29,0.26126126126126126,0.3793103448275862,0.3333333333333333,0.5862068965517241,0.41379310344827586,0.004721192413793104,0.04368898344827586,-0.03757944413793104,0.00734634927927928,0.04597701149425287,-0.002625156865486176
lda,top,manual_weak_top_label,0.7,all_signals,6,5,111,56,0.5045045045045045,0.44642857142857145,0.3333333333333333,0.5535714285714286,0.44642857142857145,0.002171249999999999,0.04023346017857143,-0.039296652499999994,0.00734634927927928,0.11309523809523814,-0.005175099279279281
lda,top,manual_weak_top_label,0.7,non_overlapping,6,5,111,27,0.24324324324324326,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.004096428518518518,0.044531369999999994,-0.036674119629629624,0.00734634927927928,0.1111111111111111,-0.0032499207607607616
lightgbm,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,22,0.275,0.3181818181818182,0.25,0.5909090909090909,0.4090909090909091,0.02568007772727273,0.062460540909090916,-0.06299720272727273,0.012450520499999998,0.06818181818181818,0.013229557227272733
lightgbm,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,12,0.15,0.3333333333333333,0.25,0.5833333333333334,0.4166666666666667,0.02465659666666667,0.05460878333333333,-0.06976688249999999,0.012450520499999998,0.08333333333333331,0.012206076166666672
lightgbm,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,17,0.2125,0.35294117647058826,0.25,0.7058823529411765,0.29411764705882354,0.026634870588235295,0.06250923235294117,-0.046715917058823525,0.012450520499999998,0.10294117647058826,0.014184350088235298
lightgbm,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,10,0.125,0.3,0.25,0.7,0.3,0.029791196,0.057621886,-0.051480782,0.012450520499999998,0.04999999999999999,0.0173406755
lightgbm,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,11,0.1375,0.36363636363636365,0.25,0.7272727272727273,0.2727272727272727,0.03993814545454546,0.07779208363636364,-0.040895431818181824,0.012450520499999998,0.11363636363636365,0.02748762495454546
lightgbm,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,7,0.0875,0.42857142857142855,0.25,0.7142857142857143,0.2857142857142857,0.04185155714285714,0.08038244428571428,-0.04654601285714285,0.012450520499999998,0.17857142857142855,0.02940103664285714
lightgbm,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,9,0.1125,0.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.023571956666666668,0.06184946555555556,-0.03953256777777778,0.012450520499999998,0.08333333333333331,0.01112143616666667
lightgbm,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,6,0.075,0.3333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.02355775,0.06012325333333333,-0.040055443333333336,0.012450520499999998,0.08333333333333331,0.011107229500000001
lightgbm,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,7,0.0875,0.42857142857142855,0.25,0.5714285714285714,0.42857142857142855,0.018119764285714286,0.06002602428571428,-0.048450452857142855,0.012450520499999998,0.17857142857142855,0.005669243785714288
lightgbm,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,6,0.075,0.3333333333333333,0.25,0.5,0.5,0.008262424999999999,0.053249153333333334,-0.05600581333333334,0.012450520499999998,0.08333333333333331,-0.004188095499999999
lightgbm,top,manual_weak_top_label,0.3,all_signals,6,5,111,68,0.6126126126126126,0.4411764705882353,0.3333333333333333,0.5588235294117647,0.4411764705882353,0.0010155748529411767,0.0400506725,-0.04056822455882353,0.00734634927927928,0.10784313725490197,-0.006330774426338103
lightgbm,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,31,0.27927927927927926,0.3870967741935484,0.3333333333333333,0.6451612903225806,0.3548387096774194,0.006927792903225807,0.04539387935483871,-0.0386416764516129,0.00734634927927928,0.05376344086021506,-0.0004185563760534727
lightgbm,top,manual_weak_top_label,0.4,all_signals,6,5,111,59,0.5315315315315315,0.4576271186440678,0.3333333333333333,0.5254237288135594,0.4745762711864407,-0.0027472293220338986,0.03640810898305085,-0.04373853474576271,0.00734634927927928,0.12429378531073448,-0.010093578601313179
lightgbm,top,manual_weak_top_label,0.4,non_overlapping,6,5,111,28,0.25225225225225223,0.39285714285714285,0.3333333333333333,0.5357142857142857,0.4642857142857143,0.0011224028571428571,0.03688340428571429,-0.039062727857142855,0.00734634927927928,0.059523809523809534,-0.006223946422136422
lightgbm,top,manual_weak_top_label,0.5,all_signals,6,5,111,45,0.40540540540540543,0.4888888888888889,0.3333333333333333,0.4888888888888889,0.5111111111111111,-0.006960905333333334,0.03376053488888889,-0.04935959822222222,0.00734634927927928,0.15555555555555556,-0.014307254612612614
lightgbm,top,manual_weak_top_label,0.5,non_overlapping,6,5,111,24,0.21621621621621623,0.4166666666666667,0.3333333333333333,0.4583333333333333,0.5416666666666666,-0.012630768333333334,0.02945622708333333,-0.053667565,0.00734634927927928,0.08333333333333337,-0.019977117612612613
lightgbm,top,manual_weak_top_label,0.6,all_signals,6,5,111,39,0.35135135135135137,0.5384615384615384,0.3333333333333333,0.46153846153846156,0.5384615384615384,-0.011831198205128207,0.030860231282051283,-0.052123850000000006,0.00734634927927928,0.20512820512820512,-0.019177547484407486
